CTF ids,CTF URLs,Rating,Tags,Task Id,Task Name,Competition,Title
4987,https://github.com/p4-team/ctf/tree/master/2016-11-17-qiwi-2016/dif-hel2,,,3074,Crypto 300_2, Qiwi-Infosec CTF-2016 ,CTFtime.org / Qiwi-Infosec CTF-2016 / Crypto 300_2 / Writeup
9358,https://github.com/p4-team/ctf/tree/master/2018-03-24-securinets/for_lone,4,header,5631,Lone author, Securinets CTF Quals 2018 ,CTFtime.org / Securinets CTF Quals 2018 / Lone author / Writeup
12739,http://www.pwncode.club/2018/12/friedrichs-christmas-hangover-x-mas-ctf.html,,reverse,7325,Friedrich&#39;s Christmas Hangover, X-MAS CTF 2018 ,CTFtime.org / X-MAS CTF 2018 / Friedrich&#39;s Christmas Hangover / Writeup
1321,http://u.osu.edu/romig.1/2015/03/02/boston-key-party-heath-street-write-up/,2,,1389,Heath Street, Boston Key Party CTF 2015 ,CTFtime.org / Boston Key Party CTF 2015 / Heath Street / Writeup
3243,http://fadec0d3.blogspot.com/2016/05/google-ctf-2016-cute-stegosaurus-100.html,5,stego,2358,A Cute Stegosaurus, Google Capture The Flag 2016 ,CTFtime.org / Google Capture The Flag 2016 / A Cute Stegosaurus / Writeup
3055,https://github.com/VulnHub/ctf-writeups/blob/master/2016/sctf/pwn2.md,,,2268,pwn2, sCTF 2016 Q1 ,CTFtime.org / sCTF 2016 Q1 / pwn2 / Writeup
7220,https://gist.github.com/techvoltage/e9bed41fad937d156383449cd6bbdd45,,reverse,4476,Keygen-2, HackCon 2017 ,CTFtime.org / HackCon 2017 / Keygen-2 / Writeup
495,http://www.blue-lotus.net/def-con-ctf-qualifier-2013-omgacm-1-writeup/,,,539,OMGACM 1, DEF CON CTF Qualifier 2013 ,CTFtime.org / DEF CON CTF Qualifier 2013 / OMGACM 1 / Writeup
6747,https://github.com/Laxa/write-ups/blob/master/Security%20Fest%202017/braindump/solve.py,,,4206,Braindump, Security Fest 2017 ,CTFtime.org / Security Fest 2017 / Braindump / Writeup
2383,https://github.com/Desiprox/NullCon-2016/tree/master/crypto_2,1,social engineering,1993,Crypto 2, HackIM 2016 ,CTFtime.org / HackIM 2016 / Crypto 2 / Writeup
9150,https://github.com/p4-team/ctf/tree/master/2018-02-03-codegate-quals/re_droid,,ndk,5244,Welcome to droid, Codegate CTF 2018 Preliminary ,CTFtime.org / Codegate CTF 2018 Preliminary / Welcome to droid / Writeup
8070,https://gist.github.com/hellman/0fd746dfe80c2ce8e75248b337cbd7a5,5,bit-by-bit,4952,flea, hxp CTF 2017 ,CTFtime.org / hxp CTF 2017 / flea / Writeup
7768,https://vishnudevtj.github.io/notes/backdoor-2017-imagerev-250,,,4686,IMAGEREV, BackdoorCTF 2017 ,CTFtime.org / BackdoorCTF 2017 / IMAGEREV / Writeup
